"ID" "DTM" "P" "TMP"
"163003" 1961-01-01 0.103690682502237 -1.43239615725971
"163003" 1961-01-02 0 -2.23239610957599
"163003" 1961-01-03 0.207381365004473 -0.43239615725971
"163003" 1961-01-04 0 0.267603845720522
"163003" 1961-01-05 0.311072055232268 0.167603844230406
"163003" 1961-01-06 0 -1.13239620494343
"163003" 1961-01-07 0.414762730008947 0.267603845720522
"163003" 1961-01-08 0.311072055232268 0.56760384274029
"163003" 1961-01-09 0.414762730008947 1.66760386658215
"163003" 1961-01-10 0 0.467603848700755
"163003" 1961-01-11 0 -0.532396181101568
"163003" 1961-01-12 0 -4.53239606189228
"163003" 1961-01-13 0 -4.13239596652485
"163003" 1961-01-14 0.311072055232268 -2.23239610957599
"163003" 1961-01-15 0.103690682502237 -2.83239625262714
"163003" 1961-01-16 0 -5.73239634799457
"163003" 1961-01-17 0 -5.43239615725971
"163003" 1961-01-18 0 -9.83239577578998
"163003" 1961-01-19 0 -8.13239596652485
"163003" 1961-01-20 0 -6.23239634799457
"163003" 1961-01-21 0 -4.93239615725971
"163003" 1961-01-22 0 -3.63239620494343
"163003" 1961-01-23 3.11072042871375 -3.73239610957599
"163003" 1961-01-24 1.24428822092907 -3.63239620494343
"163003" 1961-01-25 0 -6.93239615725971
"163003" 1961-01-26 0 -12.2323963479946
"163003" 1961-01-27 0 -10.4323961572597
"163003" 1961-01-28 0 -8.33239577578998
"163003" 1961-01-29 0 -1.63239620494343
"163003" 1961-01-30 3.94024582692718 2.06760384274029
"163003" 1961-01-31 3.21441101078374 4.06760384274029
"163003" 1961-02-01 2.0738136191425 1.06760384274029
"163003" 1961-02-02 0.725834754338983 0.967603818898432
"163003" 1961-02-03 0.829525460017893 0.167603844230406
"163003" 1961-02-04 3.21441101078374 -0.732396169180639
"163003" 1961-02-05 0 -4.23239634799457
"163003" 1961-02-06 0 -1.73239610957599
"163003" 1961-02-07 1.14059751525016 1.26760389042401
"163003" 1961-02-08 6.01405969328753 1.26760389042401
"163003" 1961-02-09 12.9613351196406 3.46760393810772
"163003" 1961-02-10 0.414762730008947 1.96760381889843
"163003" 1961-02-11 8.39894555307569 3.16760374737286
"163003" 1961-02-12 2.0738136191425 2.36760379505657
"163003" 1961-02-13 0.207381365004473 2.56760384274029
"163003" 1961-02-14 0 3.76760389042401
"163003" 1961-02-15 0 2.66760374737286
"163003" 1961-02-16 0 2.66760374737286
"163003" 1961-02-17 0 2.96760393810772
"163003" 1961-02-18 0 0.867603854661219
"163003" 1961-02-19 6.32513143949749 0.767603830819361
"163003" 1961-02-20 0 3.16760374737286
"163003" 1961-02-21 0 1.96760381889843
"163003" 1961-02-22 0 2.06760384274029
"163003" 1961-02-23 0 2.76760389042401
"163003" 1961-02-24 0 1.66760386658215
"163003" 1961-02-25 0 0.967603818898432
"163003" 1961-02-26 0 0.967603818898432
"163003" 1961-02-27 0 3.26760389042401
"163003" 1961-02-28 1.86643220778468 3.56760384274029
"163003" 1961-03-01 1.65905092003579 1.66760386658215
"163003" 1961-03-02 1.34797880299906 2.06760384274029
"163003" 1961-03-03 1.97012291346359 3.16760374737286
"163003" 1961-03-04 0 2.36760379505657
"163003" 1961-03-05 0 3.46760393810772
"163003" 1961-03-06 0 3.66760374737286
"163003" 1961-03-07 0 5.06760384274029
"163003" 1961-03-08 0 5.66760374737286
"163003" 1961-03-09 0 5.86760403347515
"163003" 1961-03-10 0 7.96760393810772
"163003" 1961-03-11 0 7.46760393810772
"163003" 1961-03-12 3.00702984664377 9.76760365200543
"163003" 1961-03-13 8.60632671721566 6.56760384274029
"163003" 1961-03-14 0.414762730008947 7.26760365200543
"163003" 1961-03-15 0 8.36760403347515
"163003" 1961-03-16 0 9.56760384274029
"163003" 1961-03-17 0 8.76760365200543
"163003" 1961-03-18 8.50263564070998 9.36760403347515
"163003" 1961-03-19 0.622144110464535 2.06760384274029
"163003" 1961-03-20 4.35500840242497 0.967603818898432
"163003" 1961-03-21 0.622144110464535 1.06760384274029
"163003" 1961-03-22 0.414762730008947 -0.632396145338781
"163003" 1961-03-23 0.207381365004473 3.56760384274029
"163003" 1961-03-24 0 6.36760403347515
"163003" 1961-03-25 0 6.06760384274029
"163003" 1961-03-26 0 8.36760403347515
"163003" 1961-03-27 0.622144110464535 2.76760389042401
"163003" 1961-03-28 2.17750420121249 0.767603830819361
"163003" 1961-03-29 1.86643220778468 3.26760389042401
"163003" 1961-03-30 5.70298745264188 6.26760365200543
"163003" 1961-03-31 11.6133560694237 5.06760384274029
"163003" 1961-04-01 2.79964843528595 7.16760374737286
"163003" 1961-04-02 1.55536021435688 8.06760384274029
"163003" 1961-04-03 4.35500840242497 8.16760422421002
"163003" 1961-04-04 0.103690682502237 8.96760346127056
"163003" 1961-04-05 0 14.16760422421
"163003" 1961-04-06 0 14.5676038427403
"163003" 1961-04-07 3.11072042871375 15.66760422421
"163003" 1961-04-08 5.28822462992624 11.2676036520054
"163003" 1961-04-09 0 5.56760384274029
"163003" 1961-04-10 0 7.76760365200543
"163003" 1961-04-11 1.03690680957125 8.46760346127056
"163003" 1961-04-12 0 9.96760346127056
"163003" 1961-04-13 0 13.4676034612706
"163003" 1961-04-14 0 14.9676034612706
"163003" 1961-04-15 0.622144110464535 13.7676036520054
"163003" 1961-04-16 16.2794367124944 8.76760365200543
"163003" 1961-04-17 0.933216103892341 10.4676034612706
"163003" 1961-04-18 0.622144110464535 11.66760422421
"163003" 1961-04-19 0 10.3676040334752
"163003" 1961-04-20 0 10.3676040334752
